Today's Date 01/15/2025  Date of Test:	01/15/2025	 Filename:	C:\Users\demo\Documents\Data\DEMO\Maccor #1\EX-1-1-a1-b2.001 Procedure: 25_01_15_EX-1-1-a1-b2.000 2 cycles 2.0-4.8V 20mA/g	Comment/Barcode: 
Rec#	Cyc#	Step	Test (Min)	Step (Min)	Amp-hr	Watt-hr	Amps	Volts	State	ES	DPt Time
1	0	1	0.0000	0.0000	0.0000000000	0.0000000000	0.0000000000	2.31400000	R	0	11:49:32
2	0	1	1.0000	1.0000	0.0000000000	0.0000000000	0.0000000000	2.31340000	R	1	11:50:32
3	0	1	2.0000	2.0000	0.0000000000	0.0000000000	0.0000000000	2.31280000	R	1	11:51:32
4	0	1	3.0000	3.0000	0.0000000000	0.0000000000	0.0000000000	2.31220000	R	1	11:52:32
5	0	1	4.0000	4.0000	0.0000000000	0.0000000000	0.0000000000	2.31160000	R	1	11:53:32
6	0	3	6.0000	0.5000	0.0000050833	0.0000120322	0.0006100000	2.41700000	C	0	11:54:32
7	0	3	7.0000	1.0000	0.0000101667	0.0000243187	0.0006100000	2.46700000	C	5	11:55:32
8	0	3	8.0000	1.5000	0.0000152500	0.0000368592	0.0006100000	2.51700000	C	5	11:56:32
9	0	3	9.0000	2.0000	0.0000203333	0.0000496540	0.0006100000	2.56700000	C	5	11:57:32
10	0	3	10.0000	2.5000	0.0000254167	0.0000627029	0.0006100000	2.61700000	C	5	11:58:32
11	0	3	11.0000	3.0000	0.0000305000	0.0000760060	0.0006100000	2.66700000	C	5	11:59:32
12	0	3	12.0000	3.5000	0.0000355833	0.0000895632	0.0006100000	2.71700000	C	5	11:00:32
13	0	3	13.0000	4.0000	0.0000406667	0.0001033747	0.0006100000	2.76700000	C	5	11:01:32
14	0	4	14.0000	0.5000	0.0000457500	0.0001174402	0.0006100000	2.71700000	D	0	11:02:32
15	0	4	15.0000	1.0000	0.0000508333	0.0001312517	0.0006100000	2.66700000	D	5	11:03:32
16	0	4	16.0000	1.5000	0.0000559167	0.0001448089	0.0006100000	2.61700000	D	5	11:04:32
17	0	4	17.0000	2.0000	0.0000610000	0.0001581120	0.0006100000	2.56700000	D	5	11:05:32
18	0	4	18.0000	2.5000	0.0000660833	0.0001711609	0.0006100000	2.51700000	D	5	11:06:32
19	0	4	19.0000	3.0000	0.0000711667	0.0001839557	0.0006100000	2.46700000	D	5	11:07:32
20	0	4	20.0000	3.5000	0.0000762500	0.0001964962	0.0006100000	2.41700000	D	5	11:08:32
21	0	4	21.0000	4.0000	0.0000813333	0.0002087827	0.0006100000	2.36700000	D	5	11:09:32
22	0	3	22.0000	0.5000	0.0000864167	0.0002208149	0.0006100000	2.41700000	C	0	11:10:32
23	0	3	23.0000	1.0000	0.0000915000	0.0002331013	0.0006100000	2.46700000	C	5	11:11:32
24	0	3	24.0000	1.5000	0.0000965833	0.0002456419	0.0006100000	2.51700000	C	5	11:12:32
25	0	3	25.0000	2.0000	0.0001016667	0.0002584367	0.0006100000	2.56700000	C	5	11:13:32
26	0	3	26.0000	2.5000	0.0001067500	0.0002714856	0.0006100000	2.61700000	C	5	11:14:32
27	0	3	27.0000	3.0000	0.0001118333	0.0002847887	0.0006100000	2.66700000	C	5	11:15:32
28	0	3	28.0000	3.5000	0.0001169167	0.0002983459	0.0006100000	2.71700000	C	5	11:16:32
29	0	3	29.0000	4.0000	0.0001220000	0.0003121573	0.0006100000	2.76700000	C	5	11:17:32
30	0	4	30.0000	0.5000	0.0001270833	0.0003262229	0.0006100000	2.71700000	D	0	11:18:32
31	0	4	31.0000	1.0000	0.0001321667	0.0003400343	0.0006100000	2.66700000	D	5	11:19:32
32	0	4	32.0000	1.5000	0.0001372500	0.0003535916	0.0006100000	2.61700000	D	5	11:20:32
33	0	4	33.0000	2.0000	0.0001423333	0.0003668947	0.0006100000	2.56700000	D	5	11:21:32
34	0	4	34.0000	2.5000	0.0001474167	0.0003799436	0.0006100000	2.51700000	D	5	11:22:32
35	0	4	35.0000	3.0000	0.0001525000	0.0003927383	0.0006100000	2.46700000	D	5	11:23:32
36	0	4	36.0000	3.5000	0.0001575833	0.0004052789	0.0006100000	2.41700000	D	5	11:24:32
37	0	4	37.0000	4.0000	0.0001626667	0.0004175653	0.0006100000	2.36700000	D	5	11:25:32
